,airline,embarked,destination,stops,journey_year,journey_month,journey_day,dep_hour,dep_min,departure_time,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,arrival_time,price,additional_info
987,Jet Airways,Kolkata,Banglore,1 stop,2019,5,15,20,25,evening,2022,5,16,18,0,evening,14152,No info
988,IndiGo,Delhi,Cochin,1 stop,2019,5,27,16,0,After noon,2022,5,28,1,30,late night,7049,No info
989,Jet Airways,Delhi,Cochin,1 stop,2019,3,21,19,45,evening,2022,3,22,4,25,late night,12558,No info
990,Multiple carriers,Delhi,Cochin,2 stops,2019,6,15,15,5,After noon,2022,6,16,1,30,late night,15966,No info
991,Air India,Banglore,New Delhi,2 stops,2019,3,3,11,5,morning,2022,3,7,22,10,night,11792,No info
992,Multiple carriers,Delhi,Cochin,2 stops,2019,3,3,7,5,early morning,2022,2,16,21,20,night,8292,No info
993,IndiGo,Banglore,Delhi,non-stop,2019,4,21,16,55,After noon,2022,2,16,19,55,evening,4991,No info
994,Vistara,Kolkata,Banglore,1 stop,2019,12,5,17,0,evening,2022,5,13,18,50,evening,9136,No info
995,Air Asia,Kolkata,Banglore,non-stop,2019,12,4,22,50,night,2022,4,13,1,20,late night,4410,No info
996,Jet Airways,Kolkata,Banglore,1 stop,2019,5,21,20,0,evening,2022,5,22,4,40,late night,10845,In-flight meal not included
997,Multiple carriers,Delhi,Cochin,1 stop,2019,5,27,9,0,morning,2022,2,16,19,0,evening,10408,No info
998,Multiple carriers,Delhi,Cochin,1 stop,2019,5,27,7,30,early morning,2022,2,16,19,0,evening,9316,No info
999,Jet Airways,Kolkata,Banglore,1 stop,2019,5,24,21,10,night,2022,5,25,4,40,late night,9664,In-flight meal not included
1000,IndiGo,Delhi,Cochin,1 stop,2019,3,21,18,35,evening,2022,3,22,1,35,late night,9265,No info
1001,SpiceJet,Chennai,Kolkata,non-stop,2019,5,15,9,45,morning,2022,2,16,12,0,morning,3598,No info
1002,IndiGo,Delhi,Cochin,1 stop,2019,6,24,5,5,early morning,2022,2,16,12,10,morning,6443,No info
1003,Multiple carriers,Delhi,Cochin,1 stop,2019,9,5,17,30,evening,2022,5,10,1,30,late night,15079,No info
1004,IndiGo,Kolkata,Banglore,1 stop,2019,1,5,18,5,evening,2022,2,16,23,30,night,6219,No info
1005,Jet Airways,Delhi,Cochin,1 stop,2019,12,6,13,0,After noon,2022,6,13,12,35,morning,10263,In-flight meal not included
1006,Multiple carriers,Delhi,Cochin,1 stop,2019,9,3,19,0,evening,2022,3,10,1,35,late night,13678,No info
1007,Jet Airways,Banglore,Delhi,non-stop,2019,6,24,7,10,early morning,2022,2,16,10,10,morning,8017,No info
1008,Jet Airways,Delhi,Cochin,1 stop,2019,3,6,17,30,evening,2022,6,4,12,35,morning,10263,In-flight meal not included
1009,SpiceJet,Kolkata,Banglore,non-stop,2019,6,27,6,55,early morning,2022,2,16,9,30,morning,3874,No info
1010,SpiceJet,Delhi,Cochin,1 stop,2019,6,27,8,45,early morning,2022,2,16,13,15,After noon,4813,No info
1011,SpiceJet,Mumbai,Hyderabad,non-stop,2019,5,15,22,45,night,2022,5,16,0,15,late night,2018,No info
1012,IndiGo,Kolkata,Banglore,non-stop,2019,3,21,20,25,evening,2022,2,16,23,5,night,4463,No info
1013,Air India,Delhi,Cochin,2 stops,2019,6,15,5,0,early morning,2022,6,16,7,40,early morning,10232,No info
1014,Air India,Banglore,New Delhi,1 stop,2019,3,21,10,30,morning,2022,2,16,22,55,night,6384,No info
1015,Air India,Delhi,Cochin,2 stops,2019,6,24,17,15,evening,2022,6,25,7,40,early morning,11990,No info
1016,IndiGo,Banglore,New Delhi,non-stop,2019,3,24,18,55,evening,2022,2,16,21,45,night,7304,No info
1017,Jet Airways,Banglore,Delhi,non-stop,2019,4,21,18,55,evening,2022,2,16,22,0,night,7230,No info
1018,Jet Airways,Mumbai,Hyderabad,non-stop,2019,6,21,8,45,early morning,2022,2,16,10,15,morning,4996,In-flight meal not included
1019,Multiple carriers,Delhi,Cochin,1 stop,2019,6,15,13,0,After noon,2022,2,16,21,0,night,7409,No info
1020,Air India,Kolkata,Banglore,2 stops,2019,5,15,16,45,After noon,2022,5,16,12,30,morning,14961,No info
1021,Air Asia,Banglore,New Delhi,non-stop,2019,3,24,23,25,night,2022,3,28,2,10,late night,4483,No info
1022,IndiGo,Delhi,Cochin,1 stop,2019,1,6,6,50,early morning,2022,2,16,16,10,After noon,6443,No info
1023,Jet Airways,Banglore,Delhi,non-stop,2019,12,5,8,20,early morning,2022,2,16,11,20,morning,6145,In-flight meal not included
1024,Jet Airways,Delhi,Cochin,2 stops,2019,5,27,9,40,morning,2022,5,28,12,35,morning,15130,No info
1025,Air India,Delhi,Cochin,2 stops,2019,5,21,22,0,night,2022,5,22,19,15,evening,10232,No info
1026,IndiGo,Banglore,Delhi,non-stop,2019,3,4,20,0,evening,2022,2,16,22,50,night,4824,No info
1027,IndiGo,Banglore,Delhi,non-stop,2019,9,6,8,30,early morning,2022,2,16,11,20,morning,4824,No info
1028,Jet Airways,Delhi,Cochin,1 stop,2019,5,21,11,30,morning,2022,5,22,4,25,late night,12899,In-flight meal not included
1029,Jet Airways,Mumbai,Hyderabad,non-stop,2019,1,5,19,35,evening,2022,2,16,21,5,night,5679,No info
1030,Air India,Delhi,Cochin,2 stops,2019,9,3,5,55,early morning,2022,3,10,7,40,early morning,14484,No info
1031,Jet Airways,Mumbai,Hyderabad,non-stop,2019,5,15,19,35,evening,2022,2,16,21,5,night,2229,In-flight meal not included
1032,Multiple carriers,Delhi,Cochin,1 stop,2019,6,15,13,15,After noon,2022,2,16,22,30,night,8019,No info
1033,Multiple carriers,Delhi,Cochin,1 stop,2019,6,3,9,55,morning,2022,2,16,21,0,night,15137,In-flight meal not included
1034,SpiceJet,Delhi,Cochin,1 stop,2019,4,24,15,45,After noon,2022,2,16,22,5,night,5584,No info
1035,Air India,Delhi,Cochin,2 stops,2019,12,6,14,25,After noon,2022,6,13,19,15,evening,13382,No info
1036,Air India,Banglore,New Delhi,1 stop,2019,3,15,6,55,early morning,2022,3,16,10,50,morning,7933,No info
1037,Jet Airways,Kolkata,Banglore,1 stop,2019,9,5,20,0,evening,2022,5,10,8,15,early morning,7758,In-flight meal not included
1038,Jet Airways,Delhi,Cochin,2 stops,2019,5,18,5,30,early morning,2022,5,19,4,25,late night,13030,In-flight meal not included
1039,SpiceJet,Kolkata,Banglore,non-stop,2019,9,6,6,55,early morning,2022,2,16,9,30,morning,3842,No check-in baggage included
1040,Air India,Banglore,New Delhi,non-stop,2019,3,3,13,20,After noon,2022,2,16,16,10,After noon,10217,No info
1041,Air India,Mumbai,Hyderabad,non-stop,2019,5,21,21,5,night,2022,2,16,22,25,night,3101,No info
1042,Air India,Delhi,Cochin,2 stops,2019,3,21,17,15,evening,2022,3,22,19,15,evening,8246,No info
1043,Air India,Banglore,New Delhi,1 stop,2019,1,3,11,5,morning,2022,2,16,19,50,evening,14595,1 Long layover
1044,Jet Airways,Delhi,Cochin,2 stops,2019,1,6,18,25,evening,2022,6,2,12,35,morning,14238,No info
1045,Air India,Kolkata,Banglore,2 stops,2019,5,21,8,20,early morning,2022,2,16,23,15,night,13165,No info
1046,Jet Airways,Delhi,Cochin,1 stop,2019,9,6,20,55,evening,2022,6,10,4,25,late night,14925,No info
1047,Jet Airways,Kolkata,Banglore,1 stop,2019,5,21,21,10,night,2022,5,22,16,20,After noon,10845,In-flight meal not included
1048,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,10,20,morning,2022,2,16,17,35,evening,7065,In-flight meal not included
1049,Vistara,Kolkata,Banglore,1 stop,2019,5,24,7,10,early morning,2022,2,16,18,50,evening,9556,No info
1050,Multiple carriers,Delhi,Cochin,1 stop,2019,6,24,10,35,morning,2022,2,16,19,15,evening,7156,No info
1051,Multiple carriers,Delhi,Cochin,1 stop,2019,9,6,8,0,early morning,2022,2,16,19,0,evening,12193,No info
1052,Air Asia,Delhi,Cochin,1 stop,2019,5,18,16,45,After noon,2022,5,19,7,10,early morning,7354,No info
1053,IndiGo,Delhi,Cochin,1 stop,2019,6,27,7,35,early morning,2022,2,16,12,10,morning,5055,No info
1054,Multiple carriers,Delhi,Cochin,2 stops,2019,6,15,17,50,evening,2022,6,16,1,30,late night,18486,No info
1055,Jet Airways,Kolkata,Banglore,1 stop,2019,6,6,6,30,early morning,2022,2,16,18,15,evening,10845,In-flight meal not included
1056,Jet Airways,Banglore,Delhi,non-stop,2019,5,18,8,20,early morning,2022,2,16,11,20,morning,6145,In-flight meal not included
1057,IndiGo,Mumbai,Hyderabad,non-stop,2019,1,5,19,5,evening,2022,2,16,20,35,evening,2755,No info
1058,Multiple carriers,Delhi,Cochin,1 stop,2019,3,27,15,5,After noon,2022,3,28,1,35,late night,12328,No info
1059,SpiceJet,Kolkata,Banglore,non-stop,2019,6,5,6,55,early morning,2022,2,16,9,30,morning,3842,No check-in baggage included
1060,Jet Airways,Delhi,Cochin,1 stop,2019,5,18,22,50,night,2022,5,19,4,25,late night,12374,In-flight meal not included
1062,IndiGo,Delhi,Cochin,1 stop,2019,5,21,9,15,morning,2022,2,16,21,0,night,7319,No info
1063,Jet Airways,Banglore,New Delhi,1 stop,2019,6,3,11,40,morning,2022,3,7,7,40,early morning,16737,No info
1064,IndiGo,Delhi,Cochin,1 stop,2019,9,6,21,50,night,2022,6,10,3,35,late night,6196,No info
1065,SpiceJet,Mumbai,Hyderabad,non-stop,2019,6,6,5,45,early morning,2022,2,16,7,15,early morning,2754,No info
1066,SpiceJet,Chennai,Kolkata,non-stop,2019,3,24,9,30,morning,2022,2,16,12,5,morning,3808,No check-in baggage included
1067,Jet Airways,Delhi,Cochin,2 stops,2019,3,3,5,25,early morning,2022,3,5,4,25,late night,20065,No info
1068,IndiGo,Delhi,Cochin,non-stop,2019,6,21,21,5,night,2022,6,22,0,20,late night,5407,No info
1069,Air India,Delhi,Cochin,2 stops,2019,1,6,22,0,night,2022,6,2,19,15,evening,10442,No info
1070,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,20,25,evening,2022,5,7,9,45,morning,8067,In-flight meal not included
1071,Air India,Banglore,Delhi,non-stop,2019,6,27,17,0,evening,2022,2,16,19,45,evening,6962,No info
1072,Vistara,Delhi,Cochin,non-stop,2019,3,21,14,55,After noon,2022,2,16,17,50,evening,5587,No info
1073,Air India,Delhi,Cochin,1 stop,2019,1,6,17,40,evening,2022,2,16,23,0,night,7385,No info
1074,Jet Airways,Banglore,New Delhi,1 stop,2019,1,3,11,40,morning,2022,3,2,9,0,morning,20801,No info
1075,Jet Airways,Kolkata,Banglore,1 stop,2019,12,5,6,30,early morning,2022,2,16,12,0,morning,13942,No info
1076,Jet Airways,Banglore,Delhi,non-stop,2019,3,5,8,20,early morning,2022,2,16,11,20,morning,5199,In-flight meal not included
1077,SpiceJet,Chennai,Kolkata,non-stop,2019,3,18,9,30,morning,2022,2,16,12,5,morning,3808,No check-in baggage included
1078,Multiple carriers,Delhi,Cochin,1 stop,2019,3,3,9,45,morning,2022,2,16,22,20,night,13839,No info
1079,Air India,Delhi,Cochin,2 stops,2019,6,24,7,5,early morning,2022,6,25,9,25,morning,11186,No info
1080,Jet Airways,Banglore,Delhi,non-stop,2019,6,21,15,15,After noon,2022,2,16,18,10,evening,7230,In-flight meal not included
1081,Jet Airways,Delhi,Cochin,1 stop,2019,12,6,21,50,night,2022,6,13,4,25,late night,10263,In-flight meal not included
1082,Air Asia,Kolkata,Banglore,non-stop,2019,9,3,19,35,evening,2022,2,16,22,5,night,4385,No info
1083,Jet Airways,Delhi,Cochin,2 stops,2019,6,27,13,25,After noon,2022,6,28,12,35,morning,12820,No info
1084,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,21,10,night,2022,5,7,10,5,morning,7758,In-flight meal not included
1085,Air India,Delhi,Cochin,1 stop,2019,4,21,20,30,evening,2022,4,22,23,0,night,7175,No info
1086,IndiGo,Delhi,Cochin,1 stop,2019,1,6,11,55,morning,2022,2,16,22,30,night,6675,No info
1087,IndiGo,Mumbai,Hyderabad,non-stop,2019,5,18,20,5,evening,2022,2,16,21,40,night,2228,No info
1088,Jet Airways,Delhi,Cochin,2 stops,2019,12,6,19,30,evening,2022,6,13,12,35,morning,13015,No info
1089,IndiGo,Mumbai,Hyderabad,non-stop,2019,3,21,16,55,After noon,2022,2,16,18,25,evening,3176,No info
1090,IndiGo,Kolkata,Banglore,non-stop,2019,1,3,9,35,morning,2022,2,16,12,20,morning,6566,No info
1091,Jet Airways,Kolkata,Banglore,1 stop,2019,1,4,18,55,evening,2022,4,2,23,35,night,12682,No info
1092,Vistara,Chennai,Kolkata,non-stop,2019,1,6,7,5,early morning,2022,2,16,9,20,morning,3688,No info
1093,Jet Airways,Mumbai,Hyderabad,non-stop,2019,6,15,19,35,evening,2022,2,16,21,5,night,3211,In-flight meal not included
1094,IndiGo,Kolkata,Banglore,non-stop,2019,6,3,20,25,evening,2022,2,16,23,5,night,4779,No info
1095,Multiple carriers,Delhi,Cochin,1 stop,2019,3,6,11,25,morning,2022,2,16,19,0,evening,10878,No info
1096,Vistara,Kolkata,Banglore,1 stop,2019,5,24,20,20,evening,2022,5,25,10,45,morning,9188,No info
1097,Air India,Banglore,New Delhi,1 stop,2019,3,15,22,0,night,2022,3,16,23,20,night,6851,No info
1098,Jet Airways,Kolkata,Banglore,1 stop,2019,12,5,8,25,early morning,2022,2,16,18,15,evening,14782,No info
1099,Air India,Kolkata,Banglore,2 stops,2019,6,5,16,45,After noon,2022,5,7,8,55,early morning,13228,No info
1100,Vistara,Banglore,Delhi,non-stop,2019,9,5,7,0,early morning,2022,2,16,9,40,morning,4669,No info
1101,Jet Airways,Kolkata,Banglore,1 stop,2019,5,24,6,30,early morning,2022,2,16,12,0,morning,14179,No info
1102,Jet Airways,Kolkata,Banglore,1 stop,2019,6,5,17,0,evening,2022,5,7,9,45,morning,8067,In-flight meal not included
1103,IndiGo,Banglore,Delhi,non-stop,2019,6,5,13,0,After noon,2022,2,16,15,50,After noon,3944,No info
1104,Multiple carriers,Delhi,Cochin,1 stop,2019,1,6,7,30,early morning,2022,2,16,19,0,evening,11201,No info
1105,Jet Airways,Kolkata,Banglore,1 stop,2019,5,18,18,55,evening,2022,5,19,4,40,late night,8587,In-flight meal not included
1106,Jet Airways,Kolkata,Banglore,1 stop,2019,12,6,21,10,night,2022,6,13,10,5,morning,13045,No info
1107,Multiple carriers,Delhi,Cochin,1 stop,2019,3,6,9,15,morning,2022,2,16,19,15,evening,8100,No info
1108,Jet Airways,Delhi,Cochin,1 stop,2019,6,15,17,30,evening,2022,6,16,4,25,late night,10263,In-flight meal not included
1109,Multiple carriers,Delhi,Cochin,2 stops,2019,6,24,17,50,evening,2022,6,25,1,30,late night,18276,No info
1110,Multiple carriers,Delhi,Cochin,1 stop,2019,5,27,6,0,early morning,2022,2,16,21,0,night,8476,No info
1111,SpiceJet,Kolkata,Banglore,non-stop,2019,6,4,22,20,night,2022,4,7,0,40,late night,3874,No info
1112,IndiGo,Mumbai,Hyderabad,non-stop,2019,6,21,21,20,night,2022,2,16,22,50,night,2228,No info
1113,Jet Airways,Delhi,Cochin,2 stops,2019,6,3,5,25,early morning,2022,3,7,19,45,evening,16390,In-flight meal not included
1114,Air India,Banglore,Delhi,non-stop,2019,3,5,6,10,early morning,2022,2,16,8,55,early morning,5229,No info
1115,Air India,Banglore,New Delhi,1 stop,2019,3,21,11,50,morning,2022,3,19,8,55,early morning,5093,No info
1116,IndiGo,Banglore,New Delhi,non-stop,2019,9,3,21,20,night,2022,3,13,0,15,late night,4778,No info
1117,Air Asia,Banglore,New Delhi,non-stop,2019,3,24,5,50,early morning,2022,2,16,8,40,early morning,3384,No info
1118,Vistara,Kolkata,Banglore,1 stop,2019,5,21,7,10,early morning,2022,5,22,9,5,morning,8453,No info
1119,IndiGo,Banglore,Delhi,non-stop,2019,5,27,23,30,night,2022,5,28,2,20,late night,3944,No info
1120,Air India,Mumbai,Hyderabad,non-stop,2019,6,24,21,5,night,2022,2,16,22,25,night,3101,No info
1121,IndiGo,Delhi,Cochin,1 stop,2019,6,3,9,10,morning,2022,3,7,1,35,late night,14872,No info
1122,Jet Airways,Banglore,Delhi,non-stop,2019,6,21,11,10,morning,2022,2,16,14,5,After noon,8017,No info
1123,Multiple carriers,Delhi,Cochin,1 stop,2019,12,6,6,0,early morning,2022,2,16,19,0,evening,11790,No info
1124,Multiple carriers,Delhi,Cochin,1 stop,2019,5,15,11,40,morning,2022,2,16,19,0,evening,10530,No info
1125,Air Asia,Banglore,New Delhi,non-stop,2019,3,15,5,50,early morning,2022,2,16,8,40,early morning,5616,No info
1126,SpiceJet,Kolkata,Banglore,1 stop,2019,6,6,15,5,After noon,2022,2,16,20,20,evening,4650,No info
1127,Air India,Kolkata,Banglore,2 stops,2019,9,6,5,50,early morning,2022,2,16,23,15,night,12724,No info
1128,Jet Airways,Kolkata,Banglore,1 stop,2019,5,24,6,30,early morning,2022,2,16,18,15,evening,10845,In-flight meal not included
1129,Jet Airways,Delhi,Cochin,1 stop,2019,3,6,20,55,evening,2022,6,4,19,0,evening,14715,No info
1130,Vistara,Delhi,Cochin,non-stop,2019,12,6,14,40,After noon,2022,2,16,17,50,evening,6217,No info
1131,IndiGo,Kolkata,Banglore,non-stop,2019,3,15,9,35,morning,2022,2,16,12,20,morning,4149,No info
1132,IndiGo,Delhi,Cochin,1 stop,2019,6,3,6,40,early morning,2022,2,16,12,0,morning,5648,No info
1133,Jet Airways,Kolkata,Banglore,1 stop,2019,5,15,8,25,early morning,2022,2,16,18,15,evening,10845,In-flight meal not included
1134,IndiGo,Delhi,Cochin,1 stop,2019,9,5,5,5,early morning,2022,2,16,12,10,morning,6819,No info
1135,Air India,Delhi,Cochin,2 stops,2019,5,27,10,55,morning,2022,5,28,7,40,early morning,13644,No info
1136,Multiple carriers,Delhi,Cochin,1 stop,2019,3,27,7,0,early morning,2022,2,16,21,0,night,6359,No info
1137,Jet Airways,Delhi,Cochin,1 stop,2019,1,6,13,0,After noon,2022,2,16,19,0,evening,14715,No info
1138,SpiceJet,Delhi,Cochin,1 stop,2019,4,21,8,45,early morning,2022,2,16,13,15,After noon,6461,No info
1139,Jet Airways,Kolkata,Banglore,1 stop,2019,12,5,21,10,night,2022,5,13,12,0,morning,9664,In-flight meal not included
1140,Jet Airways,Kolkata,Banglore,1 stop,2019,5,21,6,30,early morning,2022,5,22,10,5,morning,13942,No info
1141,Jet Airways,Delhi,Cochin,1 stop,2019,3,27,19,45,evening,2022,3,28,19,45,evening,5964,In-flight meal not included
1142,Jet Airways,Delhi,Cochin,2 stops,2019,6,15,19,30,evening,2022,6,16,12,35,morning,13015,No info
1143,Jet Airways,Kolkata,Banglore,1 stop,2019,9,5,16,30,After noon,2022,5,10,9,20,morning,9664,In-flight meal not included
1144,IndiGo,Banglore,Delhi,non-stop,2019,6,4,13,0,After noon,2022,2,16,15,50,After noon,4424,No info
1145,Jet Airways,Delhi,Cochin,2 stops,2019,6,5,11,40,morning,2022,2,16,19,0,evening,21220,No info
1146,IndiGo,Delhi,Cochin,1 stop,2019,5,24,18,35,evening,2022,5,25,1,30,late night,7504,No info
1147,IndiGo,Kolkata,Banglore,non-stop,2019,6,24,21,25,night,2022,6,25,0,5,late night,4805,No info
1148,Jet Airways,Delhi,Cochin,2 stops,2019,9,5,9,40,morning,2022,5,10,12,35,morning,15130,No info
1149,Multiple carriers,Delhi,Cochin,2 stops,2019,3,27,7,10,early morning,2022,2,16,21,20,night,6198,No info
1150,SpiceJet,Chennai,Kolkata,non-stop,2019,5,27,17,45,evening,2022,2,16,20,5,evening,3598,No info
1151,Multiple carriers,Delhi,Cochin,1 stop,2019,3,27,7,30,early morning,2022,2,16,19,15,evening,9101,No info
1152,Jet Airways,Mumbai,Hyderabad,non-stop,2019,1,6,7,5,early morning,2022,2,16,8,30,early morning,4051,In-flight meal not included
1153,Multiple carriers,Delhi,Cochin,1 stop,2019,6,6,10,0,morning,2022,6,7,1,30,late night,7724,No info
1154,Jet Airways,Delhi,Cochin,2 stops,2019,9,5,23,5,night,2022,5,10,19,0,evening,15130,No info
1155,Jet Airways,Delhi,Cochin,1 stop,2019,5,18,8,0,early morning,2022,2,16,19,0,evening,12374,In-flight meal not included
1156,IndiGo,Banglore,Delhi,non-stop,2019,3,5,23,30,night,2022,5,4,2,20,late night,4592,No info
1157,SpiceJet,Chennai,Kolkata,non-stop,2019,9,3,8,20,early morning,2022,2,16,10,35,morning,6301,No info
1158,Air India,Banglore,New Delhi,non-stop,2019,3,24,17,0,evening,2022,2,16,19,45,evening,5177,No info
1159,Multiple carriers,Delhi,Cochin,1 stop,2019,6,15,9,0,morning,2022,2,16,19,0,evening,12718,No info
1160,Air India,Chennai,Kolkata,non-stop,2019,3,18,11,40,morning,2022,2,16,13,55,After noon,4406,No info
1161,SpiceJet,Delhi,Cochin,1 stop,2019,4,21,15,45,After noon,2022,2,16,22,5,night,6750,No info
1162,Jet Airways,Kolkata,Banglore,1 stop,2019,12,5,10,20,morning,2022,2,16,17,35,evening,7065,In-flight meal not included
1163,Jet Airways,Delhi,Cochin,1 stop,2019,5,21,7,5,early morning,2022,2,16,12,35,morning,16290,No info
1164,IndiGo,Chennai,Kolkata,non-stop,2019,3,15,11,35,morning,2022,2,16,14,0,After noon,6298,No info
1165,Jet Airways,Mumbai,Hyderabad,non-stop,2019,12,5,19,35,evening,2022,2,16,21,5,night,5679,No info
1166,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,20,0,evening,2022,5,2,9,20,morning,14389,No info
1167,Jet Airways,Banglore,Delhi,non-stop,2019,4,18,6,0,early morning,2022,2,16,8,45,early morning,7230,No info
1168,IndiGo,Kolkata,Banglore,1 stop,2019,3,24,11,55,morning,2022,2,16,16,25,After noon,9807,No info
1169,IndiGo,Delhi,Cochin,1 stop,2019,6,6,21,50,night,2022,6,7,3,35,late night,6196,No info
1170,Jet Airways,Kolkata,Banglore,1 stop,2019,12,6,18,55,evening,2022,6,13,18,15,evening,13045,No info
1171,Jet Airways,Delhi,Cochin,2 stops,2019,6,27,11,45,morning,2022,6,28,4,25,late night,13883,No info
1172,Jet Airways,Banglore,New Delhi,1 stop,2019,3,24,5,45,early morning,2022,2,16,10,45,morning,8148,In-flight meal not included
1173,Air India,Delhi,Cochin,2 stops,2019,9,4,17,15,evening,2022,4,10,7,40,early morning,8053,No info
1174,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,6,30,early morning,2022,2,16,19,50,evening,14782,No info
1175,Jet Airways,Kolkata,Banglore,1 stop,2019,5,24,9,35,morning,2022,2,16,22,5,night,14152,No info
1176,IndiGo,Kolkata,Banglore,1 stop,2019,5,18,18,5,evening,2022,2,16,23,30,night,6705,No info
1177,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,8,25,early morning,2022,5,2,12,0,morning,9664,In-flight meal not included
1178,IndiGo,Kolkata,Banglore,non-stop,2019,3,18,15,20,After noon,2022,2,16,17,55,evening,4463,No info
1179,Jet Airways,Delhi,Cochin,2 stops,2019,3,21,10,45,morning,2022,3,22,4,25,late night,8368,In-flight meal not included
1180,Jet Airways,Delhi,Cochin,2 stops,2019,9,6,6,45,early morning,2022,6,10,4,25,late night,13377,No info
1181,Jet Airways,Kolkata,Banglore,1 stop,2019,5,21,20,25,evening,2022,5,22,9,45,morning,13068,No info
1182,IndiGo,Kolkata,Banglore,non-stop,2019,5,21,14,25,After noon,2022,2,16,16,55,After noon,5225,No info
1183,Multiple carriers,Delhi,Cochin,1 stop,2019,3,21,16,0,After noon,2022,3,22,1,35,late night,13543,No info
1184,GoAir,Banglore,Delhi,non-stop,2019,5,24,7,45,early morning,2022,2,16,10,40,morning,3420,No info
1185,Multiple carriers,Delhi,Cochin,2 stops,2019,6,3,9,45,morning,2022,2,16,21,20,night,10445,No info
1186,IndiGo,Kolkata,Banglore,non-stop,2019,1,6,9,35,morning,2022,2,16,12,10,morning,4805,No info
1187,Jet Airways,Mumbai,Hyderabad,non-stop,2019,5,21,7,5,early morning,2022,2,16,8,30,early morning,4996,In-flight meal not included
1188,SpiceJet,Delhi,Cochin,1 stop,2019,4,27,17,55,evening,2022,2,16,22,50,night,4958,No info
1189,Jet Airways,Delhi,Cochin,1 stop,2019,9,5,20,55,evening,2022,5,10,4,25,late night,15555,No info
1190,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,20,0,evening,2022,5,2,12,0,morning,9664,In-flight meal not included
1191,Jet Airways,Kolkata,Banglore,1 stop,2019,5,18,9,35,morning,2022,5,19,9,45,morning,14152,No info
1192,IndiGo,Delhi,Cochin,non-stop,2019,6,6,5,35,early morning,2022,2,16,8,50,early morning,5602,No info
1193,Multiple carriers,Delhi,Cochin,1 stop,2019,5,15,6,40,early morning,2022,2,16,19,15,evening,7788,No info
1194,Air India,Banglore,New Delhi,1 stop,2019,3,21,11,50,morning,2022,2,16,23,55,night,5093,No info
1195,Jet Airways,Kolkata,Banglore,1 stop,2019,6,6,21,10,night,2022,6,7,9,20,morning,10845,In-flight meal not included
1196,Multiple carriers,Delhi,Cochin,2 stops,2019,9,3,17,50,evening,2022,3,10,1,35,late night,23584,No info
1197,Air India,Kolkata,Banglore,2 stops,2019,12,5,12,0,morning,2022,5,13,18,30,evening,10677,No info
1198,SpiceJet,Kolkata,Banglore,1 stop,2019,6,6,11,15,morning,2022,2,16,18,30,evening,10157,No info
1199,Air Asia,Delhi,Cochin,1 stop,2019,6,3,16,45,After noon,2022,3,7,7,10,early morning,8628,No info
1200,Air Asia,Kolkata,Banglore,non-stop,2019,5,21,9,45,morning,2022,2,16,12,15,morning,4410,No info
1201,Multiple carriers,Delhi,Cochin,1 stop,2019,5,18,9,45,morning,2022,2,16,16,10,After noon,9647,No info
1202,Jet Airways,Banglore,New Delhi,1 stop,2019,12,3,21,25,night,2022,3,13,12,25,morning,13818,No info
1203,Air India,Delhi,Cochin,2 stops,2019,9,5,13,20,After noon,2022,5,10,7,40,early morning,13539,No info
1204,Air India,Kolkata,Banglore,2 stops,2019,9,5,12,0,morning,2022,5,10,7,55,early morning,9417,No info
1205,Jet Airways,Banglore,Delhi,non-stop,2019,4,27,11,10,morning,2022,2,16,14,5,After noon,7230,No info
1206,Air India,Kolkata,Banglore,1 stop,2019,1,5,10,0,morning,2022,2,16,23,15,night,10204,No info
1207,IndiGo,Delhi,Cochin,1 stop,2019,5,21,16,10,After noon,2022,5,22,0,55,late night,6779,No info
1208,IndiGo,Mumbai,Hyderabad,non-stop,2019,6,15,12,0,morning,2022,2,16,13,30,After noon,2755,No info
1209,Air India,Kolkata,Banglore,2 stops,2019,1,5,5,50,early morning,2022,2,16,20,25,evening,10992,No info
1210,Vistara,Banglore,Delhi,non-stop,2019,5,27,11,30,morning,2022,2,16,14,20,After noon,4669,No info
1211,SpiceJet,Delhi,Cochin,1 stop,2019,3,6,8,45,early morning,2022,2,16,13,15,After noon,5727,No check-in baggage included
1212,Air India,Kolkata,Banglore,2 stops,2019,12,6,9,50,morning,2022,2,16,23,15,night,14961,No info
1213,Air India,Delhi,Cochin,1 stop,2019,5,21,20,40,evening,2022,5,22,9,25,morning,7481,No info
1214,Air Asia,Kolkata,Banglore,non-stop,2019,5,21,19,55,evening,2022,2,16,22,25,night,4108,No info
1215,Jet Airways,Kolkata,Banglore,1 stop,2019,1,5,9,35,morning,2022,5,2,9,45,morning,11468,No info
1216,IndiGo,Delhi,Cochin,1 stop,2019,4,27,2,0,late night,2022,2,16,7,25,early morning,5797,No info
1217,Jet Airways,Delhi,Cochin,1 stop,2019,6,6,2,15,late night,2022,2,16,19,0,evening,10263,In-flight meal not included
